PlotName,Plot-No,ENV,Rep,Blk,Entry,Pedigree,DA,DS,ASI,PHT,EHT,RL,SL,HCV,PASP,EASP,EPP,EAROT  ,GY,STGC
BA21364-IK'DT-1106,1106,MD,1,8,E142,TZEEIOR 510 X TZEEIOR 197,50,50,0,160,72.2,3,5,5,5,5,0.777777778,0,1570.37037,6
BA21364-IK'DT-1107,1107,MD,1,8,E128,TZEEIOR 205 X TZEEIOR 197 ,48,49,1,194.4,98.4,2,4,5,4,5,1,1.365903777,2745.098039,6
BA21364-IK'DT-1108,1108,MD,1,8,E134,TZEEIOR 221 X TZEEIOR 197 ,49,49,0,177,87.4,2,4,4,4,4,0.833333333,1.322219295,2324.183007,6
BA21364-IK'DT-1109,1109,MD,1,8,E81,TZEEIOR 515 X TZEEIOR 249 ,46,45,1,181.4,71.8,5,4,4,4,4,1,1.083183988,3022.962963,4
BA21364-IK'DT-1110,1110,MD,1,8,E92,TZEEIOR 205 X TZEEIOR 249 ,50,51,1,163.4,96.2,4,5,5,5,5,0.777777778,0,1786.27451,6
BA21364-IK'DT-1111,1111,MD,1,8,E84,TZEEIOR 513 X TZEEIOR 249,50,50,0,141,64.4,4,7,5,7,5,0.777777778,1.470872305,1236.775599,7
BA21364-IK'DT-1112,1112,MD,1,8,E69,TZEEIOR 525 X TZEEIOR 97,56,57,1,89,46.6,5,9,6,9,6,0.277777778,1.322219295,571.8954248,7
BA21364-IK'DT-1113,1113,MD,1,9,E101,TZEEIOR 349 XTZEEIOR 249,50,51,1,142.2,65.2,4,6,5,6,5,0.777777778,1.184285738,1745.098039,6
BA21364-IK'DT-1114,1114,MD,1,9,E17,TZEEIOR 542 TZEEIOR  9 A ,50,50,0,149.8,66.8,5,5,5,5,5,0.875,1.350801612,1568.627451,5
BA21364-IK'DT-1115,1115,MD,1,9,E71,TZEEIOR 546 X TZEEIOR 97,53,53,0,155.4,82.2,4,6,4,6,4,0.555555556,0,2520.697168,5
BA21364-IK'DT-1116,1116,MD,1,9,E160,TZEEIOR 548 X TZEEIOR 30,50,50,0,155,68.8,4,4,3,4,3,0.777777778,0.910776816,2993.638344,5
BA21364-IK'DT-1117,1117,MD,1,9,E132,TZEEIOR 45 X TZEE OR 197,48,49,1,166.6,67,2,6,4,6,4,0.944444444,1.106010812,2384.183007,5
BA21364-IK'DT-1118,1118,MD,1,9,E82,TZEEIOR 458 X TZEEIOR 249,49,48,1,155.4,74.6,5,4,3,4,3,0.944444444,0.83773694,2596.862745,5
BA21364-IK'DT-1119,1119,MD,1,9,E194,CHECH 4 - TZdEEI 1 x TZdEEI 5,45,45,0,171.4,78.2,5,6,4,6,4,0.888888889,0.860338007,2461.089325,7
BA21364-IK'DT-1120,1120,MD,1,9,E73,TZEEIOR 346 X TZEEIOR 249,50,51,1,147.6,63.8,4,6,5,6,5,0.888888889,1.2955671,1795.904139,5
BA21364-IK'DT-1121,1121,MD,1,9,E180,TZEEIOR 546 X TZEEIOR 30,51,51,0,149.2,67.8,3,5,4,5,4,0.777777778,1.184285738,2048.409586,4
BA21364-IK'DT-1122,1122,MD,1,9,E67,TZEEIOR 486 X TZEEIOR 97,51,53,2,145.2,79,4,6,5,6,5,0.611111111,1.28288977,1747.058824,5
BA21364-IK'DT-1123,1123,MD,1,9,E27,TZEEIOR 142 X TZEEIOR  9 A,49,50,1,166,87,3,5,4,5,4,0.944444444,0.83773694,2366.013072,6
BA21364-IK'DT-1124,1124,MD,1,9,E181,TZEEIOR 30 X TZEEIOR 97,54,56,2,153.4,71.4,2,6,5,6,5,0.777777778,0,1138.562092,6
BA21364-IK'DT-1125,1125,MD,1,9,E165,TZEEIOR 205 X TZEEIOR 30 ,52,54,2,151,80,2,6,5,6,5,0.722222222,1.214436251,1565.141612,5
BA21364-IK'DT-1126,1126,MD,1,9,E130,TZEEIOR 28 X TZEEIOR 197,52,53,1,155,64.6,3,5,5,5,5,0.647058824,1.003930294,1745.098039,5
BA21364-IK'DT-1127,1127,MD,1,10,E120,TZEEIOR 513 X TZEEIOR 197,52,53,1,161.6,77.2,3,5,4,5,4,0.777777778,0,2745.098039,6
BA21364-IK'DT-1128,1128,MD,1,10,E16,TZEEIOR 523 X TZEEIOR  9 A,52,52,0,119.6,58.8,4,8,6,8,6,0.647058824,0,982.5708061,6
BA21364-IK'DT-1129,1129,MD,1,10,E54,TZEEIOR 500 X TZEEIOR 97,53,54,1,148,84.8,5,6,5,6,5,0.888888889,1.414973348,2303.267974,5
BA21364-IK'DT-1130,1130,MD,1,10,E9,TZEEIOR 515 X TZEEIOR  9 A ,48,48,0,141.8,62,5,7,5,7,5,0.888888889,1.414973348,2013.333333,7
BA21364-IK'DT-1131,1131,MD,1,10,E150,TZEEIOR 289 X TZEEIOR 30,51,50,1,153.8,63.4,3,5,4,5,4,0.888888889,0,2551.851852,5
BA21364-IK'DT-1132,1132,MD,1,10,E126,TZEEIOR 500 X TZEEIOR 197,50,51,1,157.2,74.8,4,6,5,6,5,0.666666667,0,1756.862745,5
BA21364-IK'DT-1133,1133,MD,1,10,E103,TZEEIOR 486 X TZEEIOR 249,50,50,0,151.4,75,5,5,4,5,4,0.777777778,1.184285738,2742.04793,4
BA21364-IK'DT-1134,1134,MD,1,10,E163,TZEEIOR 500 X TZEEIOR 30,48,48,0,144.6,69,3,4,4,4,4,0.833333333,1.156347201,2326.797386,3
BA21364-IK'DT-1135,1135,MD,1,10,E45,TZEEIOR 515 X TZEEIOR 97 ,49,50,1,161.2,76.4,4,5,4,5,4,1,1.365903777,2747.189542,4
BA21364-IK'DT-1136,1136,MD,1,10,E157,TZEEIOR 513 X TZEEIOR 30,47,47,0,154.4,71.6,4,5,4,5,4,1,0.816609502,3119.825708,6
BA21364-IK'DT-1137,1137,MD,1,10,E152,TZEEIOR 305  X TZEEIOR 30,47,46,1,170,76.8,3,3,3,3,3,1,0.816609502,4076.470588,6
BA21364-IK'DT-1138,1138,MD,1,10,E162,TZEEIOR 542 TZEEIOR 30 ,47,46,1,186.6,85,4,3,3,3,3,1,0,3877.995643,4
BA21364-IK'DT-1139,1139,MD,1,10,E2,TZEEIOR 321 X TZEEIOR  9 A,47,46,1,174.8,83.2,5,5,3,5,3,1,1.414973348,3029.673203,5
BA21364-IK'DT-1140,1140,MD,1,10,E55,TZEEIOR 202 X TZEEIOR 97,49,48,1,198,101.6,1,3,3,3,3,0.888888889,1.130333768,3450.980392,4
BA21364-IK'DT-1141,1141,MD,1,11,E83,TZEEIOR 479 X TZEEIOR 249,44,43,1,173.2,79.4,5,4,3,4,3,0.944444444,1.389687134,4140.522876,5
BA21364-IK'DT-1142,1142,MD,1,11,E104,TZEEIOR 526 X TZEEIOR 249,50,51,1,152.2,66.6,4,6,5,6,5,0.833333333,1.441956838,1747.058824,5
BA21364-IK'DT-1143,1143,MD,1,11,E121,TZEEIOR 509 X TZEEIOR 197,50,50,0,156.6,76.2,3,5,4,5,4,1,0.816609502,2546.187364,4
BA21364-IK'DT-1144,1144,MD,1,11,E49,TZEEIOR 509 X TZEEIOR 97,51,51,0,150.6,76.4,5,5,4,5,4,0.888888889,0.860338007,2520.697168,5
BA21364-IK'DT-1145,1145,MD,1,11,E105,TZEEIOR 525 X TZEEIOR 249,50,50,0,146.8,72.4,5,5,5,5,5,0.833333333,1.441956838,1954.248366,5
BA21364-IK'DT-1146,1146,MD,1,11,E182,TZEEIOR 30 X TZEEIOR 197,50,51,1,172.6,72.2,3,4,4,4,4,0.888888889,1.2955671,2888.888889,4
BA21364-IK'DT-1147,1147,MD,1,11,E123,TZEEIOR 548 X TZEEIOR 197,50,50,0,166.6,78,3,5,4,5,4,0.722222222,1.214436251,2526.361656,5
BA21364-IK'DT-1148,1148,MD,1,11,E7,TZEEIOR 365 X TZEEIOR  9 A,50,50,0,159.4,78.4,2,4,3,4,3,1,0,2778.649237,5
BA21364-IK'DT-1149,1149,MD,1,11,E153,TZEEIOR 290 X TZEEIOR 30,52,51,1,169,72.2,4,5,4,5,4,0.882352941,1.156347201,2352.941176,4
BA21364-IK'DT-1150,1150,MD,1,11,E65,TZEEIOR 349 XTZEEIOR 97,54,55,1,144,80.6,5,6,4,6,4,0.777777778,1.564835083,2159.259259,5
BA21364-IK'DT-1151,1151,MD,1,11,E131,TZEEIOR 41 X TZEEEIOR 197,50,50,0,173,76.6,3,3,3,3,3,0.944444444,1.106010812,3490.196078,3
BA21364-IK'DT-1152,1152,MD,1,11,E158,TZEEIOR 509 X TZEEIOR 30,49,48,1,161.2,72.6,1,3,2,3,2,1.055555556,0,4658.823529,2
BA21364-IK'DT-1153,1153,MD,1,11,E100,TZEEIOR 381 X TZEEIOR 249,49,48,1,163.4,72.4,5,4,5,4,5,0.888888889,1.707570176,3147.712418,3
BA21364-IK'DT-1154,1154,MD,1,11,E39,TZEEIOR 314 X TZEEIOR 97,50,50,0,169,75,5,5,4,5,4,1,1.53571597,3912.854031,3
BA21364-IK'DT-1155,1155,MD,1,12,E11,TZEEIOR 479 X TZEEIOR  9 A,49,48,1,156,71.4,3,5,5,5,5,1,1.365903777,3175.599129,4
BA21364-IK'DT-1156,1156,MD,1,12,E8,TZEEIOR 290 X TZEEIOR  9 A,50,50,0,161.2,83,4,4,5,4,5,1.055555556,1.343460422,3781.437908,4
BA21364-IK'DT-1157,1157,MD,1,12,E187,TZEEIOR 97 X TZEEIOR 9 A,50,50,0,186.8,102.4,5,3,3,3,3,0.944444444,1.270610341,4343.267974,3
BA21364-IK'DT-1158,1158,MD,1,12,E80,TZEEIOR 290 X TZEEIOR 249,47,46,1,172,79.2,3,3,3,3,3,1.166666667,1.53571597,5429.1939,3
BA21364-IK'DT-1159,1159,MD,1,12,E89,TZEEIOR 542 TZEEIOR 249 ,48,47,1,197,81.6,4,2,4,2,4,0.888888889,1.414973348,4313.72549,4
BA21364-IK'DT-1160,1160,MD,1,12,E36,TZEEIOR 305 X TZEEIOR 9 A ,47,46,1,166.6,86.2,4,4,4,4,4,1,1.083183988,4390.413943,5
BA21364-IK'DT-1161,1161,MD,1,12,E135,TZEEIOR 142 X TZEEIOR 197,46,47,1,198.8,85.2,1,2,3,2,3,1.055555556,1.225037082,5229.411765,4
BA21364-IK'DT-1162,1162,MD,1,12,E72,TZEEIOR 305 X TZEEIOR 97,51,51,0,173.8,79.6,5,5,5,5,5,0.888888889,1.2955671,2931.372549,5
BA21364-IK'DT-1163,1163,MD,1,12,E51,TZEEIOR 548 X TZEEIOR 97,51,51,0,164.2,78.4,4,4,5,4,5,0.833333333,1.156347201,2911.764706,4
BA21364-IK'DT-1164,1164,MD,1,12,E60,TZEEIOR 45 X TZEE OR 97,53,54,1,166.8,86,1,5,6,5,6,0.555555556,1.322219295,1930.283224,3
BA21364-IK'DT-1165,1165,MD,1,12,E186,TZEEIOR 97 X TZEEIOR 249,50,50,0,172,79,4,4,4,4,4,0.722222222,1.214436251,2921.568627,4
BA21364-IK'DT-1166,1166,MD,1,12,E28,TZEEIOR 381 X TZEEIOR  9 A,50,50,0,132.8,67.2,4,7,6,7,6,0.666666667,1.53571597,1387.799564,6
BA21364-IK'DT-1167,1167,MD,1,12,E174,TZEEIOR 349 XTZEEIOR 30,52,52,0,136,65.8,3,6,6,6,6,0.888888889,1.58546073,2342.48366,5
BA21364-IK'DT-1168,1168,MD,1,12,E191,CHECK 1 TZEEIOR 109 x TZdEEI 12,51,51,0,131.2,74.2,3,6,5,6,5,0.777777778,1.184285738,2002.222222,6
BA21364-IK'DT-1169,1169,MD,1,13,E148,TZEEIOR 396 X TZEEIOR 30,53,54,1,128.4,56.2,2,7,6,7,6,0.5,0,1176.470588,6
BA21364-IK'DT-1170,1170,MD,1,13,E64,TZEEIOR 381 X TZEEIOR 97,51,51,0,153.8,84.2,4,6,6,6,6,0.666666667,0,2729.847495,4
BA21364-IK'DT-1171,1171,MD,1,13,E32,TZEEIOR 526 X TZEEIOR  9 A,50,50,0,143.4,68.8,3,5,4,5,4,0.777777778,0,2384.313725,6
BA21364-IK'DT-1172,1172,MD,1,13,E50,TZEEIOR 540 X TZEEIOR 97,52,52,0,157.6,83.8,5,5,4,5,4,0.833333333,0,2515.03268,5
BA21364-IK'DT-1173,1173,MD,1,13,E91,TZEEIOR 202 X TZEEIOR 249,50,50,0,183.6,87.6,3,4,4,4,4,0.944444444,0,2699.346405,3
BA21364-IK'DT-1174,1174,MD,1,13,E59,TZEEIOR 41 X TZEEEIOR 97,51,52,1,173.4,85.6,2,5,4,5,4,0.666666667,0,1725.490196,3
BA21364-IK'DT-1175,1175,MD,1,13,E78,TZEEIOR 289 X TZEEIOR 249,48,48,0,159.8,69.2,6,4,5,4,5,0.888888889,0,3494.117647,5
