Isolate Code,Rep,Hours,Diameter growth
A 33 (Fusarium oxysporum),1,72,2.9
A 33 (Fusarium oxysporum),2,72,2.8
A 33 (Fusarium oxysporum),3,72,2.9
A 33 (Fusarium oxysporum),4,72,2.8
B 15 (Fusarium solani),1,72,2.3
B 15 (Fusarium solani),2,72,2.3
B 15 (Fusarium solani),3,72,2.3
B 15 (Fusarium solani),4,72,2.1
C 2 (Fusarium solani),1,72,1.9
C 2 (Fusarium solani),2,72,1.9
C 2 (Fusarium solani),3,72,1.9
C 2 (Fusarium solani),4,72,2
Osogbo 77 (Fusarium oxysporum),1,72,2.1
Osogbo 77 (Fusarium oxysporum),2,72,2.1
Osogbo 77 (Fusarium oxysporum),3,72,2.1
Osogbo 77 (Fusarium oxysporum),4,72,2.1
Osogbo 81 (Fusarium oxysporum),1,72,1.8
