"","Rep","Dry Weight Shoot 1","Dry Weight Root 1","No Of Nodules Per Plant 1","Root Length","Leaf rachis Length","Petiole Leght","Terminal Petiole Length","Terminal leaflet Length","Terminal leaflet Width","Plant Height","Leaf Chlorophyll Content"
"BGB 01428",2,12.8333333333333,1.83333333333333,1.66666666666667,9.2,9.63333333333333,6.53333333333333,3,9.09333333333333,7.57333333333333,155.266666666667,34.5555555555556
"BGB 01439",2,18,1.8,0,10.9666666666667,12.9333333333333,9.6,3.26666666666667,10.8666666666667,7.56,97.8,34.8555555555556
"BGB 01519",2,25.0666666666667,2.53333333333333,1.33333333333333,11.2333333333333,11.6429936305732,8.50414012738853,3.04777070063694,9.94745222929936,8.01592356687898,166.23821656051,35.9073248407643
"BGB 01618",2,10.1333333333333,1.73333333333333,2,9.7,9.36666666666667,6.46666666666667,2.83333333333333,9.3,8.10666666666667,135.666666666667,36.3444444444444
"BGB 01623",2,18.8,2.36666666666667,1,11.1333333333333,10.06,6.76,3.24,9.28,7.92,133.4,32.6
"BGB 01644",1.5,18.8,4,0.5,11,10.4666666666667,7.86666666666667,2.76666666666667,9.2,6.69333333333333,127.866666666667,41.2888888888889
"BGB 01721",2,28,3.86666666666667,2.33333333333333,19.6333333333333,9.84147295242233,6.83462338226622,2.85101331429813,9.40427050681233,6.90876447037646,145.900313460166,31.1870033001252
"BGB 01793",2,19.4333333333333,2.26666666666667,0,14.1333333333333,9.68666666666667,6.58666666666667,3.1,8.78666666666667,7.34,176.6,32.5333333333333
"BGB 01797",2,20.6333333333333,2.43333333333333,4,16.4,11.7128263337117,8.46197502837684,3.17820658342792,9.92309875141884,7.28547105561861,127.43200908059,38.2298902762013
"BGB 01842",2,19.2,2.66666666666667,0,23.3333333333333,12.4,8.79333333333333,3.49333333333333,10.2866666666667,8.01333333333333,157.066666666667,37.1666666666667
"BGB 01862",2,28.7,1.83333333333333,5.66666666666667,16.2666666666667,9.76666666666667,6.6,2.96666666666667,8.52666666666667,6.92666666666667,181.133333333333,35.2888888888889
