PlotName,plot,ENV,Rep,Blk,Entry,Pedigree,DP,DS,ASI,PHT,EHT,HCV,PASP,EASP,RL,SL,EPP,EAROT,GY,STGC,Turcicum 10 WAP
BA21365-IK'DT-1022,1022,MD,1,2,E184,TZEEIOR 104,50,48,2,139.4,65,3,3,3,0,0,1.125,0,1363.398693,4,
BA21365-IK'DT-1023,1023,MD,1,2,E76,TZEEIOR 406,53,52,1,123.6,71.4,3,4,4,0,33.33333333,1.277777778,17.39130435,1960.784314,5,
BA21365-IK'DT-1024,1024,MD,1,2,E19,TZEEIOR 304,50,48,2,123,62.6,4,5,4,0,22.22222222,1,5.555555556,1566.884532,6,
BA21365-IK'DT-1025,1025,MD,1,2,E167,TZEEIOR 32,54,54,0,113.2,56.2,1,3,5,0,0,0.833333333,20,955.3376906,3,
BA21365-IK'DT-1026,1026,MD,1,2,E88,TZEEIOR 434,48,48,0,97.8,36.8,5,6,5,0,0,1.166666667,4.761904762,1387.799564,6,
BA21365-IK'DT-1027,1027,MD,1,2,E102,TZEEIOR 469,53,53,0,120,57.4,2,5,2,0,0,1.111111111,0,1932.461874,6,
BA21365-IK'DT-1028,1028,MD,1,2,E127,TZEEIOR 527,46,46,0,144,63.2,2,4,3,0,50,0.833333333,13.33333333,1572.11329,7,
BA21365-IK'DT-1029,1029,MD,1,2,E12,TZEEIOR 292,53,53,0,97,53.6,5,5,5,0,0,0.875,0,1163.398693,6,
BA21365-IK'DT-1030,1030,MD,1,2,E138,TZEEIOR 547,51,50,1,132.2,62.6,5,4,4,0,22.22222222,1.111111111,5,1758.823529,5,
BA21365-IK'DT-1031,1031,MD,1,3,E95,TZEEIOR 453,50,49,1,130.2,53.6,3,4,4,0,16.66666667,0.888888889,0,1166.013072,7,
BA21365-IK'DT-1032,1032,MD,1,3,E210,Check 6 -TZdEEI 9                ,,,,,,3,,,,,,,,,
BA21365-IK'DT-1033,1033,MD,1,3,E25,TZEEIOR 314,52,52,0,101.4,41.6,5,6,3,0,11.11111111,0.666666667,0,577.7777778,6,
BA21365-IK'DT-1034,1034,MD,1,3,E36,TZEEIOR 340,51,51,0,98.6,35.8,3,6,5,0,0,0.352941176,0,378.6492375,7,
BA21365-IK'DT-1035,1035,MD,1,3,E198,TZEEIOR 142,57,57,0,95.4,48.4,3,7,6,0,0,0.833333333,0,568.627451,6,
BA21365-IK'DT-1036,1036,MD,1,3,E113,TZEEIOR 498,53,53,0,114.4,62.4,4,6,5,0,16.66666667,0.555555556,10,762.5272331,6,
BA21365-IK'DT-1037,1037,MD,1,3,E202,TZEEIOR 497,52,51,1,100.4,44,3,5,5,0,0,0.777777778,7.142857143,769.4989107,7,
BA21365-IK'DT-1038,1038,MD,1,3,E109,TZEEIOR 481,50,50,0,113.2,56.4,3,6,5,0,0,0.555555556,0,767.7559913,6,
BA21365-IK'DT-1039,1039,MD,1,3,E46,TZEEIOR 361,49,48,1,105.8,50,5,5,5,0,0,1.055555556,15.78947368,1387.799564,7,
BA21365-IK'DT-1040,1040,MD,1,3,E206, Check 2 -TZdEEI 2               ,55,54,1,120.4,54.2,3,4,5,0,0,1.125,11.11111111,575.1633987,5,
BA21365-IK'DT-1041,1041,MD,1,3,E7,TZEEIOR 287,50,48,2,100.6,52,5,5,3,0,0,0.833333333,0,1377.124183,3,
BA21365-IK'DT-1042,1042,MD,1,3,E93,TZEEIOR 447,50,50,0,124.4,69.6,3,5,3,0,0,1,0,1375.599129,8,
BA21365-IK'DT-1043,1043,MD,1,3,E41,TZEEIOR 350,48,48,0,114.2,37.6,3,5,5,0,0,1,38.88888889,983.6601307,8,
BA21365-IK'DT-1044,1044,MD,1,3,E70,TZEEIOR 398,49,47,2,103.4,50.6,5,5,4,0,0,1.055555556,10.52631579,1387.799564,6,
BA21365-IK'DT-1045,1045,MD,1,3,E131,TZEEIOR 537,46,45,1,115.4,51.8,4,5,5,0,0,0.777777778,0,770.3703704,7,
BA21365-IK'DT-1046,1046,MD,1,4,E136,TZEEIOR 543,52,51,1,104.8,49.8,3,5,4,0,0,0.888888889,12.5,1349.673203,5,
BA21365-IK'DT-1047,1047,MD,1,4,E194,TZEEIOR 536,56,57,1,71.6,40.8,5,8,7,0,0,0.166666667,0,191.2854031,7,
BA21365-IK'DT-1048,1048,MD,1,4,E47,TZEEIOR 365,57,57,0,75.4,37.6,5,7,6,0,0,0.444444444,0,385.620915,7,
BA21365-IK'DT-1049,1049,MD,1,4,E31,TZEEIOR 330,49,49,0,91.6,36,3,5,4,0,0,0.777777778,14.28571429,1173.856209,5,
BA21365-IK'DT-1050,1050,MD,1,4,E74,TZEEIOR 404,48,49,1,137.4,67.4,4,5,3,0,0,0.875,0,1762.745098,6,
BA21365-IK'DT-1051,1051,MD,1,4,E182,TZEEIOR 167,53,53,0,115.2,57.8,3,6,5,0,11.11111111,0.666666667,0,579.7385621,5,
BA21365-IK'DT-1052,1052,MD,1,4,E123,TZEEIOR 521,50,50,0,125.6,67.2,3,5,5,0,0,0.611111111,0,573.8562092,5,
BA21365-IK'DT-1053,1053,MD,1,4,E143,TZEEIOR 99,57,57,0,105.4,59.6,3,6,4,0,0,0.333333333,0,414.5969499,6,
BA21365-IK'DT-1054,1054,MD,1,4,E126,TZEEIOR 524,52,51,1,99.8,50.6,3,6,6,0,0,0.555555556,0,575.8169935,6,
BA21365-IK'DT-1055,1055,MD,1,4,E150,TZEEIOR 161,59,62,3,88,46.2,5,7,5,0,0,0.333333333,0,380.3921569,6,
