ENV,GEN,REP,D50F,WT100SE
IB2018,TVu15973,3,43,8
IB2018,TVu15976,1,41,12.9
IB2018,TVu15976,2,48,
IB2018,TVu15976,3,44,12.9
IB2018,TVu15982,1,39,13
IB2018,TVu15982,2,38,10.5
IB2018,TVu15982,3,38,11.3
IB2018,TVu15995,1,40,7.7
IB2018,TVu15995,2,43,10.2
IB2018,TVu15995,3,40,6.8
IB2018,TVu1609,1,38,9.3
IB2018,TVu1609,2,36,14.7
IB2018,TVu1609,3,39,13.2
IB2018,TVu16191,1,56,
IB2018,TVu16191,2,39,10.5
IB2018,TVu16191,3,53,
IB2018,TVu16220,1,,
IB2018,TVu16220,2,46,4.6
IB2018,TVu16220,3,50,8
IB2018,TVu16237,1,40,
IB2018,TVu16237,2,40,12.3
IB2018,TVu16237,3,,
IB2018,TVu16253,1,33,
IB2018,TVu16253,2,40,
IB2018,TVu16253,3,33,
IB2018,TVu16269,1,36,
IB2018,TVu16269,2,46,9.5
IB2018,TVu16269,3,38,
IB2018,TVu16278,1,34,10.2
IB2018,TVu16278,2,40,9.8
IB2018,TVu16278,3,,
IB2018,TVu16304,1,40,
IB2018,TVu16304,2,40,8
IB2018,TVu16304,3,39,8
IB2018,TVu16368,1,40,
IB2018,TVu16368,2,37,11.2
IB2018,TVu16368,3,39,12.5
IB2018,TVu1637,1,38,7.2
IB2018,TVu1637,2,41,11
IB2018,TVu1637,3,,
IB2018,TVu16403,1,40,9.5
IB2018,TVu16403,2,40,9.4
IB2018,TVu16403,3,41,10.2
IB2018,TVu16408,1,40,
IB2018,TVu16408,2,40,10.5
IB2018,TVu16408,3,39,9.7
IB2018,TVu16430,1,39,11.2
IB2018,TVu16430,2,35,9.9
IB2018,TVu16430,3,39,11.4
IB2018,TVu16449,1,40,
IB2018,TVu16449,2,41,
IB2018,TVu16449,3,43,
IB2018,TVu16461,1,40,13.8
IB2018,TVu16461,2,40,14
IB2018,TVu16461,3,37,15.2
IB2018,TVu16465,1,43,12.4
IB2018,TVu16465,2,45,12.2
IB2018,TVu16465,3,42,10.3
IB2018,TVu16486,1,40,14.5
IB2018,TVu16486,2,40,13.2
IB2018,TVu16486,3,58,
IB2018,TVu16504,1,42,11.5
IB2018,TVu16504,2,43,13.4
IB2018,TVu16504,3,38,10
IB2018,TVu16505,1,43,
IB2018,TVu16505,2,38,11.5
IB2018,TVu16505,3,39,11.6
IB2018,TVu16514,1,40,
IB2018,TVu16514,2,37,10.8
IB2018,TVu16514,3,38,11.9
IB2018,TVu16521,1,40,
IB2018,TVu16521,2,40,8.2
IB2018,TVu16521,3,37,4.2
IB2018,TVu16528,1,40,9
IB2018,TVu16528,2,36,7.9
IB2018,TVu16528,3,35,12.3
IB2018,TVu1656,1,40,4.7
IB2018,TVu1656,2,35,6.8
IB2018,TVu1656,3,37,6.5
IB2018,TVu16574,1,41,
IB2018,TVu16574,2,40,5.4
IB2018,TVu16574,3,39,6
IB2018,TVu16594,1,42,10.8
IB2018,TVu16594,2,43,10
IB2018,TVu16594,3,42,12
IB2018,TVu16722,1,44,
IB2018,TVu16722,2,43,13.5
IB2018,TVu16722,3,44,16
IB2018,TVu1715,1,40,
IB2018,TVu1715,2,42,
IB2018,TVu1715,3,42,15.1
IB2018,TVu1727,1,47,
IB2018,TVu1727,2,40,13.7
IB2018,TVu1727,3,41,14
IB2018,TVu1775,1,49,10.4
IB2018,TVu1775,2,42,14.1
IB2018,TVu1775,3,42,11.9
IB2018,TVu1780,1,49,10.3
IB2018,TVu1780,2,52,9.6
IB2018,TVu1780,3,47,9.7
IB2018,TVu1811,1,40,
IB2018,TVu1811,2,39,7
IB2018,TVu1811,3,,
IB2018,TVu1886,1,32,
IB2018,TVu1886,2,39,4.8
IB2018,TVu1886,3,32,
IB2018,TVu1916,1,40,8.3
IB2018,TVu1916,2,40,
IB2018,TVu1916,3,39,8
IB2018,TVu201,1,47,14.3
IB2018,TVu201,2,40,12.4
IB2018,TVu201,3,46,13.3
IB2018,TVu2027,1,49,
IB2018,TVu2027,2,52,13.4
IB2018,TVu2027,3,65,
IB2018,TVu21,1,40,
IB2018,TVu21,2,42,10.4
IB2018,TVu21,3,40,11.6
IB2018,TVu2168,1,44,
IB2018,TVu2168,2,45,9.1
IB2018,TVu2168,3,44,10
IB2018,TVu2185,1,47,
IB2018,TVu2185,2,47,6.4
IB2018,TVu2185,3,41,
IB2018,TVu2252,1,42,
IB2018,TVu2252,2,38,5.2
IB2018,TVu2252,3,44,8
IB2018,TVu2280,1,47,
IB2018,TVu2280,2,42,9.9
IB2018,TVu2280,3,40,12.2
IB2018,TVu2322,1,43,
IB2018,TVu2322,2,43,11.1
IB2018,TVu2322,3,37,10.9
IB2018,TVu2398,1,43,7.2
IB2018,TVu2398,2,39,6.1
IB2018,TVu2398,3,37,
IB2018,TVu2418,1,43,14
IB2018,TVu2418,2,45,12
IB2018,TVu2418,3,37,
IB2018,TVu2449,1,,
IB2018,TVu2449,2,44,8.8
IB2018,TVu2449,3,47,12
IB2018,TVu2500,1,49,19
IB2018,TVu2500,2,43,11.2
IB2018,TVu2500,3,47,17.1
IB2018,TVu2548,1,56,
IB2018,TVu2548,2,40,12
IB2018,TVu2548,3,38,13
IB2018,TVu2606,1,56,9.2
IB2018,TVu2606,2,41,9
IB2018,TVu2606,3,44,12
IB2018,TVu264,1,43,7.1
IB2018,TVu264,2,42,8
IB2018,TVu264,3,38,8.2
IB2018,TVu2680,1,49,11.5
IB2018,TVu2680,2,45,6.5
IB2018,TVu2680,3,43,10.2
IB2018,TVu2723,1,,
IB2018,TVu2723,2,35,9.7
IB2018,TVu2723,3,37,9.1
IB2018,TVu2736,1,,8.3
IB2018,TVu2736,2,44,6.2
IB2018,TVu2736,3,37,8.7
IB2018,TVu2769,1,43,
IB2018,TVu2769,2,43,9.3
IB2018,TVu2769,3,41,8
IB2018,TVu2845,1,40,
IB2018,TVu2845,2,43,7
IB2018,TVu2845,3,33,10
IB2018,TVu2933,1,47,7.9
IB2018,TVu2933,2,44,12.1
IB2018,TVu2933,3,44,10
IB2018,TVu2968,1,36,4.9
IB2018,TVu2968,2,33,6.5
IB2018,TVu2968,3,36,
IB2018,TVu2971,1,40,
IB2018,TVu2971,2,39,11
IB2018,TVu2971,3,38,11.8
IB2018,TVu3043,1,56,
IB2018,TVu3043,2,42,5.2
IB2018,TVu3043,3,44,6.5
IB2018,TVu3076,1,42,
IB2018,TVu3076,2,40,6.4
IB2018,TVu3076,3,47,6.8
IB2018,TVu3107,1,40,
IB2018,TVu3107,2,42,10.4
IB2018,TVu3107,3,38,10
IB2018,TVu3156,1,41,4.4
IB2018,TVu3156,2,43,6.2
IB2018,TVu3156,3,40,6.3
IB2018,TVu3282,1,43,
IB2018,TVu3282,2,,13.6
IB2018,TVu3282,3,40,
IB2018,TVu3310,1,49,
IB2018,TVu3310,2,46,
IB2018,TVu3310,3,48,10
IB2018,TVu3346,1,40,5.8
IB2018,TVu3346,2,34,9.2
IB2018,TVu3346,3,34,10.3
IB2018,TVu3360,1,40,6.5
IB2018,TVu3360,2,40,7.6
IB2018,TVu3360,3,44,8.6
IB2018,TVu3389,1,43,
IB2018,TVu3389,2,43,9.7
IB2018,TVu3389,3,42,10
IB2018,TVu3552,1,44,8.2
IB2018,TVu3552,2,45,7.6
IB2018,TVu3552,3,48,7.9
IB2018,TVu3565,1,41,
IB2018,TVu3565,2,43,8.6
IB2018,TVu3565,3,41,9.2
IB2018,TVu3652,1,41,10
IB2018,TVu3652,2,39,8.4
IB2018,TVu3652,3,37,10
IB2018,TVu3657,1,41,
IB2018,TVu3657,2,39,5.3
IB2018,TVu3657,3,39,7.5
IB2018,TVu3736,1,42,
IB2018,TVu3736,2,64,
IB2018,TVu3736,3,41,
IB2018,TVu374,1,44,
IB2018,TVu374,2,41,9.4
IB2018,TVu374,3,45,11.2
IB2018,TVu3745,1,49,12.8
IB2018,TVu3745,2,,9
IB2018,TVu3745,3,45,8.8
IB2018,TVu3804,1,56,
IB2018,TVu3804,2,42,11.2
IB2018,TVu3804,3,39,
IB2018,TVu3817,1,56,
IB2018,TVu3817,2,57,
IB2018,TVu3817,3,46,
IB2018,TVu3830,1,56,
IB2018,TVu3830,2,,6.8
IB2018,TVu3830,3,54,
IB2018,TVu3842,1,40,10.4
IB2018,TVu3842,2,42,11.1
IB2018,TVu3842,3,38,10.2
IB2018,TVu393,1,47,10.9
IB2018,TVu393,2,44,11.7
IB2018,TVu393,3,42,12
IB2018,TVu3947,1,43,
IB2018,TVu3947,2,37,11.8
IB2018,TVu3947,3,39,10
IB2018,TVu3965,1,49,
IB2018,TVu3965,2,48,12.5
IB2018,TVu3965,3,48,
IB2018,TVu3969,1,43,
IB2018,TVu3969,2,45,11.6
IB2018,TVu3969,3,,
IB2018,TVu4030,1,54,
IB2018,TVu4030,2,54,9.6
IB2018,TVu4030,3,54,
IB2018,TVu408,1,43,
IB2018,TVu408,2,51,9.2
IB2018,TVu408,3,41,7.7
IB2018,TVu4097,1,49,
IB2018,TVu4097,2,,8.8
IB2018,TVu4097,3,56,
IB2018,TVu415,1,40,
IB2018,TVu415,2,48,11
IB2018,TVu415,3,50,
IB2018,TVu43,1,41,5.9
IB2018,TVu43,2,41,6.6
IB2018,TVu43,3,38,8
IB2018,TVu4316,1,47,5.6
IB2018,TVu4316,2,47,6
IB2018,TVu4316,3,,
IB2018,TVu4328,1,58,
IB2018,TVu4328,2,57,11.9
IB2018,TVu4328,3,58,
IB2018,TVu4535,1,39,13
IB2018,TVu4535,2,36,10.8
IB2018,TVu4535,3,33,13.1
IB2018,TVu4545,1,40,
IB2018,TVu4545,2,39,10.1
IB2018,TVu4545,3,38,16.2
IB2018,TVu4557,1,41,
IB2018,TVu4557,2,43,13
IB2018,TVu4557,3,41,10.5
IB2018,TVu456,1,43,
IB2018,TVu456,2,47,10.2
IB2018,TVu456,3,42,10.2
IB2018,TVu4622,1,40,10.5
IB2018,TVu4622,2,40,9.9
IB2018,TVu4622,3,44,11.6
IB2018,TVu4632,1,42,8
IB2018,TVu4632,2,45,8.7
IB2018,TVu4632,3,47,11.8
IB2018,TVu4669,1,65,12.6
IB2018,TVu4669,2,60,12.4
IB2018,TVu4669,3,65,
IB2018,TVu467,1,40,
IB2018,TVu467,2,43,10.6
IB2018,TVu467,3,40,10.2
IB2018,TVu4696,1,,
IB2018,TVu4696,2,47,11.8
IB2018,TVu4696,3,41,21.5
IB2018,TVu4711,1,,
IB2018,TVu4711,2,54,15.1
IB2018,TVu4711,3,49,8.8
IB2018,TVu4760,1,,
IB2018,TVu4760,2,,
IB2018,TVu4760,3,,
IB2018,TVu4761,1,,
IB2018,TVu4761,2,50,5.2
IB2018,TVu4761,3,51,4.1
IB2018,TVu4783,1,,
IB2018,TVu4783,2,42,9.7
IB2018,TVu4783,3,42,12
IB2018,TVu4808,1,,
IB2018,TVu4808,2,44,10.3
IB2018,TVu4808,3,40,12.4
IB2018,TVu4823,1,,
IB2018,TVu4823,2,45,13.2
IB2018,TVu4823,3,39,10
IB2018,TVu4923,1,,
IB2018,TVu4923,2,,
IB2018,TVu4923,3,,
IB2018,TVu4943,1,40,
IB2018,TVu4943,2,37,
IB2018,TVu4943,3,38,14
IB2018,TVu4963,1,,
IB2018,TVu4963,2,46,14.8
IB2018,TVu4963,3,42,13.2
IB2018,TVu4984,1,,14.9
IB2018,TVu4984,2,40,11.6
IB2018,TVu4984,3,38,12.3
IB2018,TVu5018,1,43,
IB2018,TVu5018,2,47,11
IB2018,TVu5018,3,46,8
IB2018,TVu5107,1,47,
IB2018,TVu5107,2,50,12.9
IB2018,TVu5107,3,,
IB2018,TVu523,1,,
IB2018,TVu523,2,47,12.8
IB2018,TVu523,3,50,8
IB2018,TVu53,1,54,
IB2018,TVu53,2,48,13.8
IB2018,TVu53,3,40,7.5
IB2018,TVu5307,1,49,
IB2018,TVu5307,2,45,13
IB2018,TVu5307,3,42,
IB2018,TVu5415,1,43,
IB2018,TVu5415,2,48,11.5
IB2018,TVu5415,3,46,13.2
IB2018,TVu5443,1,40,
IB2018,TVu5443,2,39,9.6
IB2018,TVu5443,3,42,9
IB2018,TVu5444,1,43,13
IB2018,TVu5444,2,42,12
IB2018,TVu5444,3,44,5.4
IB2018,TVu5466,1,47,10.8
IB2018,TVu5466,2,,8.2
IB2018,TVu5466,3,,
IB2018,TVu5473,1,41,
IB2018,TVu5473,2,41,10
IB2018,TVu5473,3,44,10.8
IB2018,TVu5495,1,40,7.1
IB2018,TVu5495,2,40,9.5
IB2018,TVu5495,3,41,8.7
IB2018,TVu5498,1,42,
IB2018,TVu5498,2,44,13.6
IB2018,TVu5498,3,45,15.7
IB2018,TVu5500,1,40,9.1
IB2018,TVu5500,2,40,10
IB2018,TVu5500,3,41,
IB2018,TVu5609,1,44,
IB2018,TVu5609,2,50,13
IB2018,TVu5609,3,44,9.1
IB2018,TVu5649,1,47,10.9
IB2018,TVu5649,2,46,13
IB2018,TVu5649,3,44,12.8
IB2018,TVu5721,1,47,
IB2018,TVu5721,2,45,12.6
IB2018,TVu5721,3,42,14.5
IB2018,TVu578,1,47,
IB2018,TVu578,2,57,10.2
IB2018,TVu578,3,42,14.3
IB2018,TVu5828,1,49,14
IB2018,TVu5828,2,47,14.8
IB2018,TVu5828,3,44,12
IB2018,TVu5874,1,47,
IB2018,TVu5874,2,50,
IB2018,TVu5874,3,54,
IB2018,TVu5957,1,43,
IB2018,TVu5957,2,46,13
IB2018,TVu5957,3,41,
IB2018,TVu6356,1,49,
IB2018,TVu6356,2,46,6.7
IB2018,TVu6356,3,50,
IB2018,TVu6365,1,40,
IB2018,TVu6365,2,42,10.1
IB2018,TVu6365,3,44,12.9
IB2018,TVu6439,1,43,
IB2018,TVu6439,2,40,10.2
IB2018,TVu6439,3,,
IB2018,TVu6464,1,,
IB2018,TVu6464,2,40,10.3
IB2018,TVu6464,3,41,11.8
IB2018,TVu6477,1,,
IB2018,TVu6477,2,39,9.9
IB2018,TVu6477,3,47,12.1
IB2018,TVu6493,1,,
IB2018,TVu6493,2,40,12.4
IB2018,TVu6493,3,38,12
IB2018,TVu6641,1,47,
IB2018,TVu6641,2,37,
IB2018,TVu6641,3,47,5.4
IB2018,TVu6642,1,40,
IB2018,TVu6642,2,36,10.2
IB2018,TVu6642,3,43,
IB2018,TVu6643,1,40,
IB2018,TVu6643,2,43,
IB2018,TVu6643,3,40,
IB2018,TVu6644,1,47,
IB2018,TVu6644,2,41,8.6
IB2018,TVu6644,3,40,12
IB2018,TVu6663,1,49,
IB2018,TVu6663,2,41,13.9
IB2018,TVu6663,3,40,9.2
IB2018,TVu6744,1,44,6.5
IB2018,TVu6744,2,48,7.7
IB2018,TVu6744,3,44,9.9
IB2018,TVu6782,1,43,10.1
IB2018,TVu6782,2,41,11
IB2018,TVu6782,3,41,8.5
IB2018,TVu6824,1,49,
IB2018,TVu6824,2,,
IB2018,TVu6824,3,,
IB2018,TVu6837,1,40,8.6
IB2018,TVu6837,2,36,8.9
IB2018,TVu6837,3,34,10
IB2018,TVu6855,1,40,7.1
IB2018,TVu6855,2,43,9.6
IB2018,TVu6855,3,43,8
IB2018,TVu6858,1,56,.
IB2018,TVu6858,2,,
IB2018,TVu6858,3,54,
IB2018,TVu6947,1,47,8.3
IB2018,TVu6947,2,44,10.5
IB2018,TVu6947,3,50,11.8
IB2018,TVu6959,1,43,
IB2018,TVu6959,2,40,18.7
IB2018,TVu6959,3,51,
IB2018,TVu6966,1,44,
IB2018,TVu6966,2,43,16.3
IB2018,TVu6966,3,42,
IB2018,TVu6968,1,40,12.3
IB2018,TVu6968,2,40,16.1
IB2018,TVu6968,3,38,
IB2018,TVu6994,1,47,
IB2018,TVu6994,2,54,12.1
IB2018,TVu6994,3,44,9.3
IB2018,TVu7127,1,61,
IB2018,TVu7127,2,47,8.8
IB2018,TVu7127,3,46,
IB2018,TVu7155,1,47,
IB2018,TVu7155,2,48,10
IB2018,TVu7155,3,49,9.3
IB2018,TVu7290,1,47,11.2
IB2018,TVu7290,2,41,9.9
IB2018,TVu7290,3,43,
IB2018,TVu7325,1,49,
IB2018,TVu7325,2,40,10.3
IB2018,TVu7325,3,41,10
IB2018,TVu7362,1,47,
IB2018,TVu7362,2,42,12.4
IB2018,TVu7362,3,41,
IB2018,TVu7382,1,41,
IB2018,TVu7382,2,40,
IB2018,TVu7382,3,42,10.5
IB2018,TVu7559,1,47,
IB2018,TVu7559,2,49,12.7
IB2018,TVu7559,3,50,
IB2018,TVu7614,1,44,11
IB2018,TVu7614,2,45,9
IB2018,TVu7614,3,48,12
IB2018,TVu7625,1,49,12.3
IB2018,TVu7625,2,43,14.7
IB2018,TVu7625,3,45,14
IB2018,TVu7642,1,,14.8
IB2018,TVu7642,2,,
IB2018,TVu7642,3,41,12
IB2018,TVu7647,1,44,
IB2018,TVu7647,2,43,8.6
IB2018,TVu7647,3,,
IB2018,TVu7684,1,40,11.1
IB2018,TVu7684,2,,11
IB2018,TVu7684,3,39,12.6
IB2018,TVu7719,1,40,
IB2018,TVu7719,2,42,8.8
IB2018,TVu7719,3,45,10.7
IB2018,TVu7739,1,40,
IB2018,TVu7739,2,43,9.9
IB2018,TVu7739,3,44,11
IB2018,TVu7755,1,43,10.9
IB2018,TVu7755,2,39,9.9
IB2018,TVu7755,3,38,11.1
IB2018,TVu7798,1,38,
IB2018,TVu7798,2,41,10
IB2018,TVu7798,3,38,
IB2018,TVu7971,1,40,
IB2018,TVu7971,2,36,8.1
IB2018,TVu7971,3,40,8.7
IB2018,TVu7991,1,49,
IB2018,TVu7991,2,47,14.1
IB2018,TVu7991,3,51,13.4
IB2018,TVu8,1,40,
IB2018,TVu8,2,40,9
IB2018,TVu8,3,41,9.8
IB2018,TVu8059,1,,
IB2018,TVu8059,2,52,
IB2018,TVu8059,3,50,10.7
IB2018,TVu8072,1,56,
IB2018,TVu8072,2,40,9.2
IB2018,TVu8072,3,43,9.5
IB2018,TVu8082,1,54,11
IB2018,TVu8082,2,44,12.2
IB2018,TVu8082,3,,
IB2018,TVu8123,1,55,
IB2018,TVu8123,2,,
IB2018,TVu8123,3,53,
IB2018,TVu8262,1,40,
IB2018,TVu8262,2,40,12.8
IB2018,TVu8262,3,36,14
IB2018,TVu8389,1,47,
IB2018,TVu8389,2,40,12.6
IB2018,TVu8389,3,39,16.8
IB2018,TVu84,1,41,
IB2018,TVu84,2,35,9.2
IB2018,TVu84,3,42,
IB2018,TVu8464,1,40,8.9
IB2018,TVu8464,2,40,10.5
IB2018,TVu8464,3,49,8
IB2018,TVu8516,1,41,8.9
IB2018,TVu8516,2,42,9.2
IB2018,TVu8516,3,,
IB2018,TVu8612,1,47,
IB2018,TVu8612,2,43,8.2
IB2018,TVu8612,3,45,6
IB2018,TVu8622,1,51,.
IB2018,TVu8622,2,,9.5
IB2018,TVu8622,3,51,10.5
IB2018,TVu8631,1,40,
IB2018,TVu8631,2,40,12.1
IB2018,TVu8631,3,43,9.7
IB2018,TVu8641,1,59,
IB2018,TVu8641,2,45,10.5
IB2018,TVu8641,3,45,12.9
IB2018,TVu8656,1,40,6.1
IB2018,TVu8656,2,44,
IB2018,TVu8656,3,41,8.4
IB2018,TVu8671,1,49,
IB2018,TVu8671,2,40,9.4
IB2018,TVu8671,3,39,
IB2018,TVu8673,1,43,8.9
IB2018,TVu8673,2,45,9.5
IB2018,TVu8673,3,44,
IB2018,TVu870,1,42,
IB2018,TVu870,2,50,19.6
IB2018,TVu870,3,47,16
IB2018,TVu8702,1,49,8.2
IB2018,TVu8702,2,43,10
IB2018,TVu8702,3,38,10.4
IB2018,TVu8713,1,68,
IB2018,TVu8713,2,38,
IB2018,TVu8713,3,50,
IB2018,TVu8775,1,47,7.3
IB2018,TVu8775,2,39,6.2
IB2018,TVu8775,3,,
IB2018,TVu8779,1,56,11.9
IB2018,TVu8779,2,43,9.6
IB2018,TVu8779,3,45,10
IB2018,TVu8812,1,47,15.1
IB2018,TVu8812,2,45,13.7
IB2018,TVu8812,3,44,13.8
IB2018,TVu8834,1,44,10.5
IB2018,TVu8834,2,44,10.1
IB2018,TVu8834,3,45,9.7
IB2018,TVu8838,1,47,8.8
IB2018,TVu8838,2,42,8.1
IB2018,TVu8838,3,42,10
IB2018,TVu8877,1,41,
IB2018,TVu8877,2,46,10.1
IB2018,TVu8877,3,,
IB2018,TVu8883,1,47,
IB2018,TVu8883,2,38,9.3
IB2018,TVu8883,3,41,8.7
IB2018,TVu889,1,56,
IB2018,TVu889,2,,10.8
IB2018,TVu889,3,46,
IB2018,TVu8923,1,63,
IB2018,TVu8923,2,62,12.4
IB2018,TVu8923,3,63,
IB2018,TVu8934,1,44,
IB2018,TVu8934,2,,10.4
IB2018,TVu8934,3,54,
IB2018,TVu9031,1,43,
IB2018,TVu9031,2,45,14.3
IB2018,TVu9031,3,,
IB2018,TVu9073,1,43,
IB2018,TVu9073,2,42,9.9
IB2018,TVu9073,3,41,13
IB2018,TVu9095,1,43,
IB2018,TVu9095,2,43,17.3
IB2018,TVu9095,3,41,
IB2018,TVu9151,1,,
IB2018,TVu9151,2,61,9.8
IB2018,TVu9151,3,,
IB2018,TVu9220,1,,
IB2018,TVu9220,2,47,9.5
IB2018,TVu9220,3,42,
IB2018,TVu9228,1,,
IB2018,TVu9228,2,40,13.1
IB2018,TVu9228,3,45,
IB2018,TVu9234,1,49,
IB2018,TVu9234,2,,6.8
IB2018,TVu9234,3,44,11.5
IB2018,TVu9237,1,41,
IB2018,TVu9237,2,44,9.6
IB2018,TVu9237,3,43,15.7
IB2018,TVu9256,1,40,
IB2018,TVu9256,2,44,9.8
IB2018,TVu9256,3,,
IB2018,TVu9257,1,41,11.3
IB2018,TVu9257,2,40,11
IB2018,TVu9257,3,40,16
IB2018,TVu9259,1,46,
IB2018,TVu9259,2,43,13.1
IB2018,TVu9259,3,61,10.9
IB2018,TVu9265,1,40,
IB2018,TVu9265,2,46,8.4
IB2018,TVu9265,3,43,8.18
IB2018,TVu9357,1,47,
IB2018,TVu9357,2,40,11.5
IB2018,TVu9357,3,40,9.7
IB2018,TVu9391,1,35,
IB2018,TVu9391,2,39,
IB2018,TVu9391,3,38,5.3
IB2018,TVu9393,1,35,6.7
IB2018,TVu9393,2,42,8.1
IB2018,TVu9393,3,37,7.3
IB2018,TVu945,1,49,12.4
IB2018,TVu945,2,47,11.8
IB2018,TVu945,3,47,12.7
IB2018,TVu946,1,56,7.8
IB2018,TVu946,2,36,7.2
IB2018,TVu946,3,36,10
IB2018,TVu9468,1,41,
IB2018,TVu9468,2,41,8.4
IB2018,TVu9468,3,37,7.6
IB2018,TVu9469,1,40,5.9
IB2018,TVu9469,2,40,
IB2018,TVu9469,3,48,9.9
IB2018,TVu9474,1,42,
IB2018,TVu9474,2,43,6.8
IB2018,TVu9474,3,41,
IB2018,TVu9486,1,42,
IB2018,TVu9486,2,43,9.2
IB2018,TVu9486,3,49,10.3
IB2018,TVu9492,1,40,7.8
IB2018,TVu9492,2,,
IB2018,TVu9492,3,42,
IB2018,TVu9506,1,44,
IB2018,TVu9506,2,40,5.3
IB2018,TVu9506,3,40,10
IB2018,TVu9508,1,49,
IB2018,TVu9508,2,45,9.3
IB2018,TVu9508,3,41,12
IB2018,TVu9516,1,41,
IB2018,TVu9516,2,41,13
IB2018,TVu9516,3,40,
IB2018,TVu9522,1,45,
IB2018,TVu9522,2,40,8.6
IB2018,TVu9522,3,40,11.1
IB2018,TVu9556,1,40,
IB2018,TVu9556,2,41,
IB2018,TVu9556,3,38,8.3
IB2018,TVu9557,1,41,
IB2018,TVu9557,2,37,8.4
IB2018,TVu9557,3,38,9.2
IB2018,TVu9651,1,40,10
IB2018,TVu9651,2,42,12.1
IB2018,TVu9651,3,39,11.8
IB2018,TVu9676,1,47,
IB2018,TVu9676,2,40,7.6
IB2018,TVu9676,3,46,10
IB2018,TVu969,1,56,
IB2018,TVu969,2,44,8.8
IB2018,TVu969,3,46,10.9
IB2018,TVu972,1,57,
IB2018,TVu972,2,40,
IB2018,TVu972,3,34,8.4
IB2018,TVu9749,1,43,
IB2018,TVu9749,2,52,
IB2018,TVu9749,3,44,12.4
IB2018,TVu9761,1,47,
IB2018,TVu9761,2,43,
IB2018,TVu9761,3,43,12
IB2018,TVu9801,1,44,8.5
IB2018,TVu9801,2,42,4.9
IB2018,TVu9801,3,43,10
IB2018,TVu9820,1,43,10.2
IB2018,TVu9820,2,40,11.4
IB2018,TVu9820,3,38,12.3
IB2018,TVu9848,1,44,
IB2018,TVu9848,2,47,13.3
IB2018,TVu9848,3,44,13.1
IB2018,TVu9866,1,,
IB2018,TVu9866,2,46,8
IB2018,TVu9866,3,53,
IK2019,IT-99-573-1-1,1,40,20.2
IK2019,IT-99-573-1-1,2,.,.
IK2019,IT-99-573-1-1,3,40,22.5
IK2019,TVu1000,1,47,13.6
IK2019,TVu1000,2,45,
IK2019,TVu1000,3,45,11.4
IK2019,TVu10005,1,.,.
IK2019,TVu10005,2,35,19.4
IK2019,TVu10005,3,.,.
IK2019,TVu1004,1,30,20.7
IK2019,TVu1004,2,31,18.7
IK2019,TVu1004,3,33,.
IK2019,TVu10100,1,.,13.2
IK2019,TVu10100,2,35,11.7
IK2019,TVu10100,3,40,12
IK2019,TVu1016,1,37,13.3
IK2019,TVu1016,2,37,12.8
IK2019,TVu1016,3,40,15.7
IK2019,TVu10179,1,31,13.5
IK2019,TVu10179,2,31,.
IK2019,TVu10179,3,.,
IK2019,TVu10281,1,32,.
IK2019,TVu10281,2,33,17.2
IK2019,TVu10281,3,32,20.1
IK2019,TVu1036,1,35,13.5
IK2019,TVu1036,2,.,14.5
IK2019,TVu1036,3,35,16.4
IK2019,TVu10362,1,.,.
IK2019,TVu10362,2,29,15
IK2019,TVu10362,3,33,16.9
IK2019,TVu10366,1,.,16.8
IK2019,TVu10366,2,30,15.4
IK2019,TVu10366,3,32,.
IK2019,TVu1037,1,30,14.1
IK2019,TVu1037,2,30,11.6
IK2019,TVu1037,3,33,14.5
IK2019,TVu10394,1,.,16.7
IK2019,TVu10394,2,30,14.3
IK2019,TVu10394,3,32,15.8
IK2019,TVu10408,1,.,6.5
IK2019,TVu10408,2,33,7.8
IK2019,TVu10408,3,33,6.8
IK2019,TVu10466,1,32,10.4
IK2019,TVu10466,2,31,10.3
IK2019,TVu10466,3,34,
IK2019,TVu10513,1,31,11.1
IK2019,TVu10513,2,31,9.4
IK2019,TVu10513,3,30,
IK2019,TVu10545,1,30,17.8
IK2019,TVu10545,2,35,17
IK2019,TVu10545,3,33,18.4
IK2019,TVu10559,1,51,15.1
IK2019,TVu10559,2,51,16.6
IK2019,TVu10559,3,51,13.4
IK2019,TVu1059,1,30,20.3
IK2019,TVu1059,2,30,21
IK2019,TVu1059,3,32,20.7
IK2019,TVu10687,1,49,18.3
IK2019,TVu10687,2,53,18.4
IK2019,TVu10687,3,51,19
IK2019,TVu10754,1,.,22.5
IK2019,TVu10754,2,33,19
IK2019,TVu10754,3,34,13.1
IK2019,TVu10835,1,32,19.9
IK2019,TVu10835,2,32,19.9
IK2019,TVu10835,3,33,20.5
IK2019,TVu10892,1,.,14.5
IK2019,TVu10892,2,.,12.2
IK2019,TVu10892,3,.,.
IK2019,TVu109,1,35,11.6
IK2019,TVu109,2,30,11.5
IK2019,TVu109,3,34,14
IK2019,TVu10910,1,.,15.1
IK2019,TVu10910,2,.,20
IK2019,TVu10910,3,42,.
IK2019,TVu10918,1,33,15.3
IK2019,TVu10918,2,32,20.2
IK2019,TVu10918,3,32,.
IK2019,TVu10952,1,.,18.8
IK2019,TVu10952,2,.,.
IK2019,TVu10952,3,.,28.8
IK2019,TVu10973,1,32,16.8
IK2019,TVu10973,2,34,15.1
